Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-76.2413	-119.7584	43.5171	0.110258	0.0922421	0.05978	0.169881	0.0463954	0.0844337	0.0618333	0.00697649	0.0247994	0.0135434	0.0272859	0.116018	0.00407568	0.00391353	0.0238248	0.0412119	0.000950097	0.028036	0.0303964	0.0630129	0.0136857	0.0573991	0.0598396	0.024561	0.0297195	0.0362007	0.119637	0.142964	0.0376378	0.0736078	0.0103089	0.00681946	0.0830155	0.00771146	0.0066389	0.695982	0.837982	0.946348	1.05669	1.19334	1.43682	0.2620627	0.0641553	0.0536723	0.0347838	0.0988477	0.0269958	0.0491289	0.0359786	0.00405937	0.0144299	0.0078804	0.0158767	0.0675068	0.00237149	0.00227714	0.0138628	0.0239797	0.000552827	0.0163131	0.0176866	0.0366649	0.00796319	0.0333985	0.0348185	0.0142912	0.0172927	0.0210639	0.0696126	0.0831854	0.0219001	0.0428297	0.00599839	0.003968	0.0483037	0.00448702	0.00386294	0.267541	0.732459	0.2675411	1.718615
36	-73.88521	-118.0013	44.11612	0.0268515	0.0277114	0.0446138	0.0504025	0.0132192	0.0149099	0.0937767	0.00661337	0.00561258	0.0111046	0.0190357	0.00916501	0.000833796	0.00437476	0.0035177	0.0331231	0.00315625	0.0395033	0.0378521	0.0201774	0.0148219	0.0216319	0.0148818	0.00799715	0.0301158	0.0107329	0.03911	0.00469974	0.0157437	0.0856365	0.00679023	0.0118717	0.014852	0.0161962	0.0148574	0.352715	0.601558	0.853373	1.17182	1.66235	2.83515	0.7535059	0.034625	0.0357339	0.0575295	0.0649941	0.0170462	0.0192263	0.120925	0.00852794	0.00723743	0.0143195	0.0245466	0.0118183	0.00107518	0.00564126	0.00453608	0.0427123	0.00406999	0.0509396	0.0488104	0.0260188	0.0191128	0.0278943	0.0191901	0.0103123	0.0388343	0.0138401	0.0504324	0.00606033	0.0203015	0.110428	0.00875601	0.0153086	0.0191517	0.0208851	0.0191586	0.262331	0.737669	0.2623307	0.7754936
72	-75.69933	-119.3866	43.68728	0.0274521	0.000773076	0.0243165	0.00680558	0.0147108	0.00338169	0.000626484	0.00342065	0.00648943	0.00602667	0.00583116	0.00166245	0.0113704	0.00814369	0.018908	0.0143481	0.00610076	0.00695134	0.0315706	0.0115429	0.0073771	0.004685	0.00112891	0.00608134	0.010288	0.00239555	0.00878288	0.00898483	0.0216958	0.00633968	0.000734954	0.00755236	0.00123762	0.00491903	0.00457856	0.19208	0.447252	0.777999	1.28535	2.23587	5.20616	1.19295	0.0893583	0.00251641	0.0791518	0.0221526	0.0478845	0.0110076	0.00203924	0.0111344	0.0211235	0.0196172	0.0189808	0.00541139	0.0370114	0.0265082	0.0615466	0.0467039	0.0198583	0.022627	0.102764	0.0375727	0.0240129	0.0152499	0.00367467	0.0197951	0.033488	0.00779767	0.0285888	0.0292462	0.0706211	0.0206361	0.00239232	0.0245834	0.00402852	0.0160117	0.0149035	0.222342	0.777658	0.2223416	0.307214
108	-66.33706	-110.5612	44.22419	0.0466971	0.00344513	0.116963	0.0156348	0.0499529	0.00502662	0.00216962	0.0180786	0.0414842	0.0193405	0.00782162	0.00218831	0.0289804	0.0228782	0.014959	0.0195801	0.00699187	0.0215448	0.0139775	0.0735325	0.0130889	0.0352939	0.0153623	0.0118139	0.0192268	0.0114258	0.0224908	0.0310404	0.0980078	0.00706919	0.0317195	0.0218821	0.0150414	0.00542431	0.00412561	0.456008	0.681836	0.887383	1.12691	1.46663	2.19294	0.5677854	0.0534133	0.00394063	0.133785	0.0178835	0.0571374	0.00574957	0.00248167	0.0206788	0.0474507	0.0221221	0.00894657	0.00250304	0.0331485	0.0261687	0.0171105	0.0223963	0.00799748	0.0246435	0.0159879	0.0841083	0.0149714	0.0403701	0.0175718	0.0135131	0.0219921	0.0130692	0.0257255	0.0355048	0.112104	0.00808593	0.0362815	0.0250293	0.0172047	0.00620446	0.00471898	0.277632	0.722368	0.2776323	0.8742591
144	-65.65796	-110.3204	44.66247	0.0207343	0.0586799	0.026485	0.0315546	0.0377976	0.0186258	0.0050586	0.000538851	0.0651886	0.0270223	0.0071974	0.00116281	0.00169965	0.00258399	0.0126096	0.00746864	0.00283037	0.0298416	0.0338735	0.0472071	7.13767e-05	0.0229413	0.0379586	0.0193862	0.00830622	0.0252134	0.00754765	0.0285186	0.0965359	0.00665287	0.0372046	0.0498522	0.00741691	9.62654e-05	0.00720737	0.764242	0.877105	0.959916	1.04176	1.14011	1.30849	0.1944119	0.0261443	0.0739909	0.0333956	0.039788	0.0476599	0.0234857	0.00637851	0.00067945	0.0821978	0.034073	0.00907536	0.00146622	0.00214313	0.00325822	0.0158997	0.00941738	0.00356888	0.037628	0.0427119	0.0595245	9.00005e-05	0.0289272	0.0478629	0.0244446	0.0104735	0.0317921	0.00951701	0.0359597	0.121724	0.00838877	0.0469122	0.0628598	0.00935215	0.000121383	0.00908794	0.533945	0.466055	0.5339448	0.7930696
180	-72.70681	-116.2689	43.56213	0.0708211	0.0881806	0.0575035	0.00970976	0.0472029	0.00471052	0.0089349	0.00083779	0.00930228	0.00694811	0.005145	0.0151432	0.00888443	0.00920524	0.0287544	0.00635469	0.0237192	0.00983119	0.124312	0.0352514	0.0212114	0.0134647	0.0720846	0.0295931	0.0502913	0.0095203	0.0362778	0.0189116	0.0384987	0.0383745	0.0332957	0.00823519	0.00114617	0.0570657	0.0397008	0.226554	0.484747	0.797786	1.25347	2.06293	4.41396	1.073593	0.0682006	0.0849177	0.0553758	0.00935048	0.0454563	0.00453622	0.00860429	0.000806791	0.00895808	0.00669102	0.00495463	0.0145829	0.00855569	0.00886463	0.0276904	0.00611956	0.0228416	0.00946742	0.119712	0.0339471	0.0204265	0.0129665	0.0694174	0.0284981	0.0484304	0.00916803	0.0349354	0.0182119	0.0370742	0.0369545	0.0320637	0.00793047	0.00110376	0.0549542	0.0382318	0.12121	0.87879	0.1212103	1.038424
216	-70.25991	-114.6242	44.36426	0.0299596	0.0430104	0.0694887	0.0450649	0.0576056	0.0112742	0.00297892	0.00433793	0.0194169	0.0108156	0.0257841	0.0275711	0.000904861	0.0216754	0.0263244	0.0915337	0.00909394	0.00236238	0.0233604	0.0368218	0.019507	0.0835661	0.00588163	0.00870432	0.012887	0.000298106	0.0226658	0.0134635	0.0543626	0.051743	0.044671	0.00808007	0.00205069	0.0386342	0.0951444	0.670211	0.822703	0.94093	1.06278	1.21551	1.49207	0.2893451	0.0293421	0.0421239	0.0680565	0.0441361	0.0564184	0.0110418	0.00291753	0.00424853	0.0190167	0.0105926	0.0252527	0.0270029	0.000886212	0.0212287	0.0257818	0.0896472	0.00890651	0.00231369	0.022879	0.0360629	0.0191049	0.0818438	0.0057604	0.00852492	0.0126214	0.000291962	0.0221986	0.013186	0.0532422	0.0506765	0.0437503	0.00791354	0.00200843	0.0378379	0.0931834	0.356422	0.643578	0.3564224	1.021044
252	-67.51023	-111.8971	44.38688	0.115034	0.0252582	0.0404211	0.0375553	0.0644206	0.00077871	0.033354	0.00509021	0.00754852	0.0475704	0.024011	0.0274946	0.0158163	0.00237359	0.0329856	0.0168012	0.0105999	0.0126575	0.0458342	0.0155933	0.0117753	0.0285652	0.0205678	0.0085881	0.0113283	7.28925e-05	0.0236984	0.0341166	0.0620992	0.0101975	0.0179672	0.0184391	0.0105354	0.0426682	0.00404093	0.579042	0.766078	0.920228	1.08669	1.30535	1.72699	0.3950705	0.129856	0.0285126	0.0456292	0.0423942	0.072721	0.000879046	0.0376516	0.00574607	0.00852113	0.0536998	0.0271047	0.0310372	0.0178542	0.00267942	0.0372358	0.018966	0.0119656	0.0142884	0.0517399	0.0176025	0.0132925	0.0322458	0.0232179	0.00969466	0.012788	8.22845e-05	0.0267519	0.0385125	0.0701006	0.0115115	0.0202823	0.020815	0.0118929	0.0481659	0.00456159	0.364363	0.635637	0.3643626	0.8858589
288	-68.83755	-113.2812	44.44368	0.0339821	0.0504245	0.013124	0.0101717	0.0201062	0.00377981	0.0075671	0.0486396	0.0469385	0.0101399	0.0228122	0.00263088	0.00584889	0.0178879	0.0353998	0.0203615	0.0186999	0.0309805	0.0226624	0.0335432	0.00896703	0.0370478	0.00415506	0.0186986	0.00764155	0.00456866	0.00825812	0.0287224	0.0890673	0.00483401	0.00299161	0.00881754	0.00490345	0.0296302	0.0111304	0.52966	0.733488	0.907831	1.10153	1.36335	1.888	0.4595243	0.0468632	0.0695382	0.0180987	0.0140273	0.0277276	0.00521256	0.0104355	0.0670767	0.0647307	0.0139835	0.0314592	0.00362813	0.00806594	0.0246684	0.0488182	0.0280796	0.0257882	0.0427238	0.0312526	0.0462579	0.012366	0.051091	0.00573005	0.0257864	0.0105381	0.00630044	0.0113884	0.0396098	0.122829	0.00666636	0.0041256	0.0121599	0.00676213	0.0408617	0.0153494	0.379127	0.620873	0.3791266	0.7251344
324	-67.73169	-111.726	43.99429	0.0019146	0.0644981	0.0171065	0.00106928	0.0145812	0.00298948	0.0295443	0.0107593	0.0271557	0.000650733	0.000678287	0.000729448	0.0174756	0.0130191	0.0390247	0.0129431	0.0134099	0.0250692	0.0437511	0.0263806	0.00742514	0.019001	0.00294377	0.030455	0.0211626	0.00258659	0.0190941	0.0125743	0.0509239	0.0218139	0.000305355	0.00520832	0.0119911	0.0694008	0.024829	0.271075	0.529074	0.819865	1.21971	1.89009	3.68901	0.9438645	0.00289012	0.0973607	0.0258224	0.0016141	0.0220105	0.00451266	0.0445976	0.0162413	0.0409919	0.000982289	0.00102388	0.00110111	0.0263797	0.0196525	0.0589083	0.0195378	0.0202425	0.0378423	0.0660428	0.0398219	0.0112083	0.0286822	0.00444366	0.0459723	0.0319452	0.0039045	0.0288229	0.018981	0.0768703	0.0329284	0.000460937	0.00786203	0.0181008	0.104761	0.0374797	0.340519	0.659481	0.3405195	0.6624654
360	-70.57633	-114.6128	44.03651	0.0395034	0.0370298	0.0515318	0.000645459	0.023408	0.00360201	0.0797431	0.0606079	0.0891697	0.0443988	0.0056126	0.0594721	0.0217759	0.0104989	0.00551651	0.0124302	0.0260345	0.0402037	0.0144375	0.0942643	0.0480307	0.0425405	0.00918307	0.0152177	0.0480611	0.0286667	0.0836939	0.0331579	0.0812627	0.0218915	0.0617273	0.0296916	0.0292672	0.134972	0.0658949	0.863877	0.931124	0.977982	1.02251	1.07397	1.15757	0.1058031	0.0271848	0.0254825	0.0354623	0.000444181	0.0161085	0.00247877	0.0548762	0.0417081	0.0613632	0.0305536	0.00386238	0.0409265	0.0149853	0.00722496	0.00379626	0.00855397	0.017916	0.0276667	0.00993533	0.0648692	0.0330529	0.0292748	0.00631945	0.0104722	0.0330739	0.0197273	0.057595	0.022818	0.0559219	0.0150649	0.0424784	0.0204327	0.0201406	0.0928826	0.0453464	0.276643	0.723357	0.2766435	1.453144
396	-64.23164	-108.1715	43.93986	0.0730603	0.379158	0.0453232	0.00667681	0.0090514	0.0200664	0.0420261	0.00768302	0.114862	0.0169961	0.000558249	0.00389036	0.01263	0.0129281	0.0109354	0.00062696	0.0324406	0.111973	0.0479549	0.023857	0.0706888	0.0445681	0.00521575	0.019548	0.00772054	0.00360252	0.0250693	0.000957149	0.0580316	0.0325689	0.0677226	0.0288835	0.00441129	0.165834	0.0674461	0.947088	0.973835	0.991763	1.00831	1.02687	1.05587	0.03930833	0.0463885	0.24074	0.0287773	0.00423933	0.00574704	0.0127408	0.0266838	0.00487821	0.0729301	0.0107914	0.000354451	0.00247012	0.00801923	0.00820852	0.00694326	0.000398078	0.0205976	0.0710957	0.0304482	0.0151476	0.0448827	0.0282978	0.00331165	0.0124117	0.00490203	0.00228736	0.0159174	0.000607726	0.0368462	0.0206791	0.0429994	0.0183391	0.00280088	0.105294	0.0428238	0.486484	0.513516	0.4864841	1.574967
432	-67.11036	-111.2261	44.11571	0.025947	0.0696765	0.0369336	0.0504315	0.00462191	0.0327277	0.146109	0.0327971	0.0527766	0.0268316	0.021128	0.00422474	0.0361151	0.0127574	0.0124626	6.87302e-05	0.0216435	0.0308173	0.0513988	0.0091412	0.104241	0.0436115	0.0102685	0.0926628	0.0101146	0.0356845	0.0250682	0.0319515	0.0967457	0.0500147	0.0219373	0.0699927	0.00293736	0.0519084	0.0598185	0.853975	0.925903	0.976268	1.02431	1.08003	1.17099	0.1141392	0.0187266	0.0502873	0.026656	0.0363977	0.00333575	0.0236204	0.10545	0.0236705	0.0380903	0.0193651	0.0152487	0.00304911	0.0260652	0.00920732	0.00899457	4.96044e-05	0.0156207	0.0222417	0.0370958	0.00659744	0.0752338	0.0314756	0.00741106	0.0668772	0.0073	0.0257544	0.0180924	0.0230602	0.0698239	0.0360969	0.0158328	0.0505156	0.00211997	0.0374637	0.0431726	0.149271	0.850729	0.1492712	1.385567
468	-82.54752	-126.2128	43.66523	0.0347107	0.0247501	0.027543	0.020881	0.0270704	0.00845276	0.00796434	0.00122131	0.00933459	0.0211867	0.0608352	0.00694051	0.00823259	0.0570207	0.0648003	0.00814406	0.0193242	0.00728585	0.0159667	0.000580669	0.00660193	0.0056343	0.00195937	0.0422031	0.012867	0.00533224	0.00689042	0.0661934	0.0497024	0.0123055	0.0646271	0.0127869	0.000391155	0.0752418	0.00530408	0.193861	0.44927	0.779092	1.28355	2.22583	5.15834	1.186277	0.0433729	0.0309266	0.0344165	0.0260919	0.0338259	0.0105622	0.00995186	0.00152609	0.0116641	0.0264739	0.0760169	0.00867253	0.0102871	0.0712503	0.0809714	0.0101764	0.0241466	0.00910406	0.0199512	0.000725577	0.00824946	0.00704036	0.00244833	0.052735	0.016078	0.00666292	0.00860994	0.0827122	0.0621057	0.0153763	0.0807549	0.0159779	0.000488769	0.0940186	0.00662772	0.710806	0.289194	0.7108059	0.8002862
504	-70.07076	-114.3214	44.25069	0.082707	0.00794693	0.0248674	0.00333356	0.00404867	0.00532755	0.0317615	0.000515696	0.0201249	0.00577767	0.000396636	0.000861193	0.0190873	0.0120901	0.00121069	0.00959888	0.0104988	0.0283644	0.0759473	0.00149082	0.00812404	0.0443385	0.0341664	0.0428141	0.00310191	0.00182544	0.0349717	0.0130115	0.0271695	0.0289224	0.00992618	0.0134262	0.00746278	0.0262289	0.0299405	0.38884	0.630856	0.866128	1.15456	1.58515	2.57175	0.6830011	0.123188	0.0118366	0.0370389	0.00496519	0.00603031	0.00793514	0.0473072	0.000768105	0.0299752	0.00860558	0.000590771	0.00128271	0.0284296	0.0180077	0.00180327	0.0142971	0.0156374	0.0422475	0.11312	0.00222051	0.0121004	0.0660401	0.0508893	0.0637696	0.00462015	0.00271891	0.0520888	0.0193801	0.0404677	0.0430785	0.0147846	0.0199977	0.0111155	0.0390667	0.044595	0.157225	0.842775	0.1572252	0.6713872
540	-76.25161	-119.9685	43.71692	0.016262	0.0619636	0.0290267	0.00175416	0.114253	0.0424548	0.0469545	0.0627275	0.0476733	0.020204	0.00389415	0.0451407	0.0111629	0.0123547	0.0499172	0.000288088	0.0308783	0.0253516	0.0806572	0.000900084	0.0631681	0.0605503	0.00965728	0.0318869	0.0270839	0.0346841	0.0531545	0.0131675	0.0219787	0.0479782	0.26329	0.0230266	0.0728467	0.145884	0.0227254	0.72256	0.853439	0.951759	1.05069	1.17173	1.38397	0.2349642	0.0101962	0.0388511	0.0181997	0.00109985	0.0716363	0.0266191	0.0294404	0.0393301	0.0298911	0.0126679	0.00244162	0.0283031	0.0069991	0.0077464	0.031298	0.000180631	0.0193607	0.0158954	0.0505719	0.000564351	0.0396063	0.037965	0.0060551	0.019993	0.0169816	0.0217469	0.0333278	0.00825601	0.0137806	0.0300822	0.165082	0.0144377	0.0456747	0.0914689	0.0142488	0.377369	0.622631	0.3773694	1.5949
576	-68.18011	-113.0578	44.87769	0.0337437	0.0364068	0.00913334	0.0403752	0.0484221	0.0127581	0.0475919	0.0154531	0.00676801	0.00894983	0.000824316	0.00927874	0.00755066	0.0160424	0.000833012	4.60977e-05	0.00131832	0.0417594	0.0420443	0.00359708	0.0819776	0.0440941	0.00620111	0.00245105	0.0702708	0.0226358	0.0409669	0.00416208	0.00155828	0.0143342	0.0388166	0.00989634	0.00426195	0.0153667	0.00130764	0.979069	0.989737	0.996787	1.00322	1.01037	1.02138	0.01529518	0.0455259	0.0491188	0.0123224	0.054473	0.0653295	0.0172129	0.0642095	0.0208488	0.00913119	0.0120748	0.00111214	0.0125186	0.0101871	0.0216438	0.00112387	6.21936e-05	0.00177864	0.0563405	0.0567249	0.00485307	0.110602	0.0594903	0.00836634	0.00330687	0.0948071	0.0305395	0.0552712	0.00561535	0.00210239	0.0193393	0.0523701	0.0133518	0.00575009	0.0207323	0.00176422	0.404866	0.595134	0.4048658	0.7411975
612	-80.97428	-124.9484	43.97415	0.0066782	0.0751161	0.000722178	0.0146999	0.00959449	0.0028462	0.0134937	0.0166902	0.0369238	0.00459391	0.0306046	0.00580642	0.000619597	0.021231	0.0252958	0.00444765	0.01105	0.0224376	0.0336502	0.0101978	0.0166436	0.0124836	0.0281591	0.000846445	0.00641139	0.00399571	0.0319977	0.0034674	0.0117032	0.0224648	0.0220158	0.0209497	0.0259479	0.000425772	0.000310469	0.250124	0.50872	0.809891	1.23473	1.96572	3.99802	1.002028	0.0120432	0.135461	0.00130234	0.0265092	0.0173023	0.00513271	0.0243339	0.0300983	0.0665867	0.00828444	0.0551909	0.010471	0.00111735	0.0382871	0.0456173	0.00802068	0.019927	0.040463	0.0606833	0.0183902	0.0300144	0.0225124	0.0507808	0.00152644	0.011562	0.00720568	0.0577032	0.00625296	0.021105	0.040512	0.0397024	0.0377797	0.0467933	0.000767819	0.000559885	0.384305	0.615695	0.3843045	0.5545221
648	-67.38871	-111.3902	44.00151	0.128436	0.0155376	0.0195971	0.0267493	0.00692863	0.0519821	0.0584774	0.000914449	0.00444362	0.0170578	0.00522614	0.00670399	0.000913234	0.00534108	0.0193805	0.00664478	0.0184412	0.0176424	0.00532027	0.00428589	0.0225188	0.0301402	0.000736269	0.019828	0.0274104	0.00184965	0.0222181	0.000594623	0.0159014	0.019427	0.043198	0.0442552	0.0178157	0.0100965	0.0182894	0.28474	0.541917	0.826023	1.21062	1.8453	3.51198	0.908305	0.179806	0.0217522	0.0274353	0.0374481	0.00969985	0.0727733	0.0818664	0.0012802	0.00622092	0.0238804	0.00731642	0.00938536	0.0012785	0.00747734	0.0271321	0.00930247	0.0258171	0.0246987	0.00744819	0.0060001	0.0315256	0.0421953	0.00103075	0.0277585	0.0383737	0.00258945	0.0311046	0.000832452	0.0222614	0.0271971	0.0604757	0.0619558	0.0249413	0.0141348	0.0256045	0.309384	0.690616	0.3093835	0.7143029
