Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-76.2413	-119.7584	43.5171	0.2620627	0.267541	0.732459	1.718615
6	-71.30465	-116.1046	44.79992	0.155445	0.136006	0.863994	0.6237604
12	-72.19108	-115.7417	43.55063	0.2680383	0.162772	0.837228	1.690657
18	-69.42839	-114.06	44.63157	0.3486564	0.260467	0.739533	0.5278174
24	-75.46476	-119.3666	43.90184	0.621249	0.145812	0.854188	1.142503
30	-77.33953	-121.4452	44.10569	0.709762	0.37909	0.62091	0.8462202
36	-73.88521	-118.0013	44.11612	0.7535059	0.262331	0.737669	0.7754936
42	-73.64503	-118.2572	44.61217	0.1268435	0.340678	0.659322	0.9335441
48	-80.21639	-123.4345	43.21815	0.4007018	0.38847	0.61153	1.830232
54	-79.58877	-123.1219	43.53311	0.1408314	0.134024	0.865976	1.792182
60	-74.67659	-118.6794	44.00285	0.5763611	0.217401	0.782599	1.091694
66	-74.09755	-117.9335	43.83594	0.8061656	0.44537	0.55463	1.032257
72	-75.69933	-119.3866	43.68728	1.19295	0.222342	0.777658	0.307214
78	-81.66331	-124.9933	43.32995	1.504796	0.309522	0.690478	0.2755256
84	-74.58665	-118.4236	43.83693	0.9936925	0.202485	0.797515	0.2730198
90	-65.61574	-109.6453	44.02956	0.3702085	0.295847	0.704153	1.248539
96	-67.63625	-111.8703	44.23407	0.1776884	0.338058	0.661942	1.238509
102	-66.05285	-109.9662	43.91339	0.8785846	0.256708	0.743292	0.8742591
108	-66.33706	-110.5612	44.22419	0.5677854	0.277632	0.722368	0.8742591
114	-71.94346	-116.0928	44.14933	0.7432806	0.35498	0.64502	0.741773
120	-71.95933	-115.959	43.9997	0.4005655	0.195617	0.804383	1.24812
126	-67.60931	-111.6585	44.04919	0.5557498	0.401216	0.598784	1.06773
132	-65.25797	-109.5474	44.28947	0.5031724	0.294903	0.705097	0.8734824
138	-65.97254	-110.1489	44.17639	0.4327138	0.441933	0.558067	1.063811
144	-65.65796	-110.3204	44.66247	0.1944119	0.533945	0.466055	0.7930696
150	-72.12151	-115.5604	43.43889	0.1862626	0.473728	0.526272	1.825895
156	-69.6688	-113.2153	43.54648	0.8616547	0.230118	0.769882	1.241548
162	-69.72842	-114.0055	44.2771	0.1310351	0.360487	0.639513	1.241548
168	-67.85	-111.8615	44.01154	0.4965344	0.44675	0.55325	1.155789
174	-73.42446	-117.2818	43.85733	0.5524953	0.189589	0.810411	1.240131
180	-72.70681	-116.2689	43.56213	1.073593	0.12121	0.87879	1.038424
186	-69.82874	-113.5074	43.67869	1.222073	0.345954	0.654046	0.7290364
192	-67.06629	-111.1916	44.12534	0.5760292	0.229253	0.770747	0.9731303
198	-67.54005	-111.9315	44.39149	0.2084038	0.327137	0.672863	1.072471
204	-67.39899	-111.302	43.90305	0.6968474	0.427373	0.572627	1.072471
210	-65.65134	-110.3632	44.71187	0.04102348	0.372432	0.627568	0.9184578
216	-70.25991	-114.6242	44.36426	0.2893451	0.356422	0.643578	1.021044
222	-70.52034	-114.5754	44.05507	0.9260602	0.583567	0.416433	0.4829263
228	-72.40051	-116.9272	44.52673	0.4527813	0.499743	0.500257	0.5339614
234	-65.72439	-110.0872	44.36277	0.3344183	0.513695	0.486305	0.9774254
240	-67.89673	-112.6788	44.78206	0.1889527	0.167855	0.832145	0.5767836
246	-68.44363	-112.8861	44.44246	0.5285576	0.339518	0.660482	0.5767836
252	-67.51023	-111.8971	44.38688	0.3950705	0.364363	0.635637	0.8858589
258	-71.84403	-116.516	44.67202	0.07024016	0.630993	0.369007	0.9300392
264	-73.36158	-118.1843	44.82272	0.1298552	0.292895	0.707105	0.6306201
270	-73.78033	-117.704	43.92363	0.960962	0.406695	0.593305	0.3107405
276	-75.17983	-119.2289	44.04907	0.8083801	0.515377	0.484623	0.7923123
282	-69.98785	-114.1669	44.17905	0.5791414	0.606684	0.393316	0.9126178
288	-68.83755	-113.2812	44.44368	0.4595243	0.379127	0.620873	0.7251344
294	-70.52783	-114.5259	43.99812	0.9468611	0.429928	0.570072	0.3764196
300	-66.41608	-110.2535	43.83739	1.143752	0.365657	0.634343	0.4831216
306	-70.41777	-113.9638	43.54599	1.143752	0.356828	0.643172	0.9850155
312	-67.81123	-112.2544	44.44312	0.2040732	0.612416	0.387584	1.027309
318	-64.93491	-109.0567	44.12179	0.5135306	0.744274	0.255726	1.038813
324	-67.73169	-111.726	43.99429	0.9438645	0.340519	0.659481	0.6624654
330	-66.70476	-110.6179	43.91311	1.067328	0.541315	0.458685	0.5257465
