Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	root_freqs[1]	root_freqs[2]	rtfq1	tree_length
0	-79.51262	-123.7012	44.18858	0.00746028	0.100623	0.0187899	0.0542325	0.00993117	0.000516375	0.027632	0.0245766	0.0177319	0.0273116	0.00228992	0.0233814	0.000879902	0.0232503	0.0357652	0.0372596	0.00280385	0.0230439	0.00603008	0.0031356	0.00124988	4.06648e-05	0.0274398	0.0150117	0.00972685	0.0272237	0.0535075	0.0264254	0.000810144	0.0131436	0.012294	0.0501236	0.0177041	0.0484177	0.010592	0.384237	0.627203	0.86456	1.15666	1.59438	2.60256	0.6916115	0.00981156	0.132337	0.024712	0.0713251	0.0130612	0.000679122	0.0363409	0.0323225	0.0233205	0.0359195	0.00301164	0.0307506	0.00115722	0.0305782	0.0470374	0.0490029	0.00368755	0.0303067	0.0079306	0.00412386	0.00164381	5.34812e-05	0.0360881	0.019743	0.0127925	0.0358039	0.0703716	0.0347541	0.00106548	0.0172862	0.0161688	0.0659212	0.023284	0.0636777	0.0139303	0.511786	0.488214	0.5117858	0.7603557
36	-71.5762	-115.2982	43.722	0.144941	0.120411	0.0149628	0.0443784	0.0971964	0.00831544	0.090552	0.033438	0.0104941	0.0753033	0.00989545	0.00634439	0.0205119	0.0151682	0.00915164	0.0294225	0.0518312	0.0350459	0.0667527	0.0613813	0.00763939	0.0095742	0.097948	0.0253631	0.100433	0.105947	0.0311875	0.0156013	0.0137838	0.0749075	0.0283969	0.0121814	0.069378	0.0354593	0.0616812	0.785537	0.88894	0.963938	1.03741	1.12493	1.27301	0.1745396	0.0886499	0.0736467	0.00915165	0.0271431	0.0594481	0.00508596	0.0553842	0.0204517	0.00641852	0.0460577	0.00605234	0.00388041	0.0125457	0.00927729	0.0055974	0.0179956	0.0317015	0.0214351	0.0408279	0.0375426	0.00467247	0.00585585	0.0599078	0.0155128	0.0614278	0.0648003	0.0190751	0.00954221	0.00843059	0.0458156	0.0173684	0.00745048	0.0424336	0.0216879	0.037726	0.81525	0.18475	0.8152497	1.634979
72	-76.44831	-120.7898	44.34153	0.0366056	0.014696	0.0533242	0.0146574	0.0707112	0.0215975	0.0369777	0.00225404	0.0183925	0.0434588	0.0724097	0.00949068	0.0687601	0.0354048	0.0360704	0.0332321	0.0200345	0.0563464	0.0510564	0.00553555	0.09767	0.0121304	0.0324672	0.0187247	0.0400194	0.0142058	0.00768292	0.00403918	0.0108223	0.0319578	0.0166944	0.00916369	0.0275464	0.0135088	0.107661	0.781363	0.886633	0.963157	1.03825	1.12786	1.27981	0.1783922	0.0319614	0.0128315	0.0465587	0.0127978	0.0617398	0.0188573	0.0322862	0.00196806	0.016059	0.037945	0.0632228	0.00828656	0.0600362	0.0309129	0.031494	0.0290158	0.0174926	0.0491976	0.0445787	0.00483324	0.0852782	0.0105913	0.028348	0.0163491	0.034942	0.0124035	0.00670816	0.00352671	0.00944923	0.0279032	0.0145763	0.00800106	0.0240515	0.0117949	0.0940016	0.374814	0.625186	0.3748144	1.14531
108	-70.69955	-114.5907	43.89119	0.00312739	0.0752461	0.0660861	0.0188974	0.0242444	0.0327488	0.126559	0.00109057	0.0478695	0.00379952	0.0363341	0.00799702	0.000939097	0.0232719	0.0607359	0.0252613	0.00695523	0.00875373	0.0115501	0.0168954	0.00219868	0.0269568	0.0599521	0.0118208	0.0978935	0.0452496	0.0338887	0.000370149	0.0063163	0.0182483	0.0173893	0.0404518	0.0435958	0.00558704	0.00939801	0.346749	0.596574	0.85116	1.17487	1.67624	2.88393	0.7658413	0.00307306	0.0739389	0.064938	0.0185691	0.0238232	0.0321799	0.124361	0.00107163	0.0470379	0.00373351	0.0357029	0.00785809	0.000922783	0.0228676	0.0596808	0.0248225	0.0068344	0.00860165	0.0113494	0.0166019	0.00216048	0.0264885	0.0589106	0.0116154	0.0961928	0.0444635	0.0332999	0.000363719	0.00620657	0.0179313	0.0170872	0.0397491	0.0428384	0.00548998	0.00923474	0.423563	0.576437	0.423563	1.01768
144	-68.85478	-113.5245	44.66972	0.0190101	0.0977885	0.0515943	0.00190068	0.0167809	0.0119633	0.0736668	7.75121e-05	0.0191933	0.0175373	0.00282575	0.0120282	0.00170154	0.000273272	0.0468469	0.016251	0.0127062	0.0298857	0.0969361	0.0297727	0.000150972	0.00449485	0.0293578	0.0315122	0.0594361	0.00397358	0.0128472	0.000161962	0.0189278	0.0337787	0.0275083	0.0373863	0.0220907	0.0274806	0.0420578	0.881832	0.940513	0.981048	1.01932	1.06325	1.134	0.09092841	0.0208924	0.107471	0.056703	0.00208888	0.0184424	0.0131479	0.080961	8.5187e-05	0.0210937	0.0192737	0.00310555	0.0132192	0.00187002	0.000300331	0.0514856	0.0178601	0.0139643	0.0328448	0.106534	0.0327206	0.000165921	0.00493991	0.0322647	0.0346324	0.0653213	0.00436703	0.0141193	0.000177999	0.0208019	0.0371233	0.030232	0.0410882	0.0242781	0.0302016	0.0462222	0.229065	0.770935	0.2290645	0.9099047
180	-61.84914	-106.1276	44.2785	0.0349182	0.0750902	0.0567745	0.00846362	0.0156649	0.00630647	0.0401377	0.00203777	0.00100608	0.0107926	0.0234929	0.0236733	0.0129943	0.00557342	0.00337044	0.0327493	0.00965717	0.00584515	0.0588045	0.0518512	0.000270425	0.00829532	0.0303006	0.00767651	0.068608	0.0204776	0.00510066	0.00741311	0.0284301	0.0237462	0.0276541	0.0124537	0.0063376	0.0164026	0.0435239	0.446112	0.674579	0.884426	1.13068	1.48241	2.24159	0.5836505	0.0444311	0.0955474	0.0722419	0.0107694	0.0199325	0.00802458	0.0510727	0.00259293	0.00128017	0.0137329	0.0298932	0.0301227	0.0165345	0.00709182	0.00428867	0.0416713	0.0122881	0.00743758	0.074825	0.0659773	0.000344099	0.0105553	0.0385556	0.00976787	0.0872993	0.0260565	0.00649026	0.00943271	0.0361755	0.0302155	0.0351881	0.0158465	0.00806419	0.0208713	0.0553814	0.259279	0.740721	0.2592786	0.7858942
216	-67.2705	-111.638	44.36751	0.00474151	0.0239261	0.00379197	0.0214015	0.0262562	0.00912162	0.00128999	0.000448111	0.00935102	0.00986159	0.0280085	0.0166039	0.006609	0.0340083	0.00169267	0.0325946	0.0310644	0.00415512	0.00904907	0.0574765	0.0349303	0.0331511	0.0626949	0.00936744	0.0586077	0.000807348	0.00376391	0.00274371	0.0353696	0.0105259	0.00721532	0.0473482	0.00192885	0.00249098	0.0167051	0.453181	0.679771	0.886544	1.12798	1.47108	2.20662	0.5722825	0.00719389	0.036301	0.00575324	0.0324707	0.0398364	0.0138395	0.0019572	0.000679882	0.0141875	0.0149622	0.042495	0.0251916	0.0100273	0.051598	0.00256814	0.049453	0.0471314	0.00630421	0.0137294	0.0872043	0.0529967	0.0502973	0.0951217	0.0142124	0.0889205	0.00122492	0.00571067	0.0041628	0.0536633	0.0159701	0.0109472	0.0718375	0.00292649	0.00377935	0.0253453	0.369565	0.630435	0.3695653	0.6591021
252	-69.46615	-113.7112	44.245	0.0583843	0.122513	0.0499281	0.0615978	0.0983913	0.00111406	0.000796933	0.00215969	0.0219639	0.0760108	0.0266769	0.0772603	0.0156338	0.0309829	0.0107039	0.0221285	0.0506644	0.00242085	0.00567739	0.027622	0.0473738	0.131418	0.0877735	0.0200743	0.0648769	0.0179011	0.0182548	0.00729167	0.0452054	0.0191856	0.0187745	0.0370459	0.00844678	0.00579185	0.053222	0.951526	0.976058	0.992468	1.00759	1.02453	1.05094	0.03592827	0.0433998	0.0910699	0.0371139	0.0457885	0.0731388	0.000828134	0.000592397	0.0016054	0.0163268	0.0565024	0.0198302	0.0574312	0.0116214	0.023031	0.00795669	0.0164492	0.0376612	0.00179953	0.00422027	0.0205327	0.0352151	0.0976892	0.0652461	0.0149221	0.0482261	0.0133067	0.0135696	0.00542024	0.0336033	0.0142615	0.013956	0.027538	0.00627888	0.00430535	0.0395624	0.40578	0.59422	0.4057798	1.345267
288	-70.30772	-114.8963	44.58861	0.0113259	0.0447702	0.00614733	0.00127856	0.00699222	0.00262966	0.000862093	0.0014908	0.00357343	0.000645324	0.0169924	0.0124605	0.032945	0.00460027	0.0111485	0.00435772	0.00166947	0.00657226	0.00586336	0.0124046	0.00548237	0.00947166	0.0255021	0.00754964	0.0538344	0.00321915	0.00106189	0.00511479	0.0214155	0.00522851	0.00734937	0.00781823	0.0127941	0.0014885	0.0321352	0.60478	0.782501	0.926337	1.07952	1.27795	1.65349	0.363624	0.0291757	0.115329	0.0158357	0.00329361	0.0180121	0.00677406	0.00222077	0.00384034	0.00920524	0.00166237	0.0437729	0.0320985	0.0848672	0.0118504	0.0287189	0.0112256	0.00430059	0.0169303	0.0151042	0.0319545	0.0141227	0.0243992	0.065694	0.0194481	0.138679	0.0082926	0.00273546	0.0131758	0.0551668	0.0134688	0.0189322	0.0201399	0.032958	0.00383441	0.0827812	0.442962	0.557038	0.4429621	0.388195
324	-77.12225	-120.9315	43.80922	0.147993	0.151233	0.0100733	0.0111256	0.0401128	0.0175817	0.0439616	0.0183349	0.048688	0.000913484	0.039885	0.0192888	0.0053268	0.00983629	0.0507112	0.0145118	0.0311179	0.0165813	0.030027	0.0185827	0.0291015	0.013001	0.0267293	0.00766076	0.0265754	0.000702932	0.0670349	0.0349718	0.0206142	0.0804391	0.0790004	0.0234167	0.031589	0.0460978	0.0122866	0.425144	0.658925	0.877971	1.13899	1.51762	2.35215	0.6184609	0.1208	0.123444	0.00822238	0.00908131	0.0327423	0.0143511	0.0358839	0.0149659	0.0397418	0.000745636	0.0325563	0.0157446	0.00434803	0.00802892	0.0413933	0.0118453	0.0254001	0.0135346	0.0245097	0.0151682	0.0237542	0.0106121	0.021818	0.00625313	0.0216923	0.000573771	0.0547175	0.0285459	0.0168264	0.0656588	0.0644845	0.019114	0.0257847	0.0376276	0.010029	0.4771	0.5229	0.4771002	1.225108
